Profiling main()
         32360166 function calls (32291039 primitive calls) in 63.379 seconds

   Ordered by: cumulative time
   List reduced from 5167 to 90 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.006    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:13(__init__)
      358    0.002    0.000    0.004    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:52(_gradRhoFunc)
      404    0.001    0.000    0.002    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:176(reset)
       13    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:176(returnBoundaryPointsForPlotting)
      200    0.001    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:500(withinBounds)
      202    0.000    0.000    0.001    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:60(get)
     1519    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:126(_gradRhoFunc)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:11(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:10(__init__)
        3    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:7(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:61(precalcAllHk)
      200    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:242(calcLambdaDuration)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:330(__str__)
        7    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:265(state_string)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:147(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:264(__init__)
        4    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:9(__init__)
       50    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:105(alpha)
        2    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:243(copy)
        3    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:68(precalcAllLamdaK)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:281(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:258(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\barrier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:79(__init__)
        2    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:255(saveObstaclesToMemory)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:9(Agent)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:5(Basis)
        4    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:230(phi)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:52(modifedPhiForObstacles)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:10(DecentralisedErgodicController)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\barrier.py:9(__init__)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:3(SingleIntegrator)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:271(Quadcopter)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:263(NominalFunction)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:3(ReplayBufferFIFO)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:129(DoubleIntegrator)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:257(ReconstructedPhi)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:5(Obstacle)
        2    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:226(phi)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\barrier.py:4(Barrier)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:74(ActionMask)
        1    0.000    0.000    0.000    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:280(ReconstructedPhiFromCk)




Profiling main()
         91345978 function calls (91283447 primitive calls) in 232.644 seconds

   Ordered by: cumulative time
   List reduced from 4280 to 89 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1500    1.410    0.001  123.973    0.083 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:116(calcNextActionTriplet)
     1500   60.435    0.040   97.268    0.065 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:69(simulateAdjointBackward)
     8442    0.616    0.000   46.834    0.006 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:604(calcUsafe)
   320796    3.102    0.000   34.917    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:515(calcPotentialU)
