0,0,0.10000000000000037
0,1,0.03360642944662547
0,2,-0.12460636512556275
0,3,-0.09204675694396193
0,4,0.07888882801655173
1,0,-0.08629749849935137
1,1,-0.030852157947055904
1,2,0.10583229495506886
1,3,0.08378090063816383
1,4,-0.062059208490540765
2,0,-0.027896393725590087
2,1,-0.005087192155367355
2,2,0.03873502751007545
2,3,0.015655627906894082
2,4,-0.03605232131575844
3,0,0.10152478059041559
3,1,0.031883302191353956
3,2,-0.1286840022184227
3,3,-0.08837037832325408
3,4,0.08770050065318158
4,0,-0.0867632185303497
4,1,-0.03325659880012139
4,2,0.10450010344913543
4,3,0.08970173475020564
4,4,-0.05552279451141379
