Ergodic cost: 75.444     i: 940/4000     perc: 23.50%    dt/Ts: 1.74     remaining: 27 s         elapsed: 7.5 s (34 s)
Ergodic cost: 77.362     i: 960/4000     perc: 24.00%    dt/Ts: 1.74     remaining: 26 s         elapsed: 7.7 s (34 s)
Ergodic cost: 78.634     i: 980/4000     perc: 24.50%    dt/Ts: 1.70     remaining: 26 s         elapsed: 7.9 s (34 s)
Ergodic cost: 79.350     i: 1000/4000    perc: 25.00%    dt/Ts: 1.73     remaining: 26 s         elapsed: 8.0 s (34 s)
Ergodic cost: 80.214     i: 1020/4000    perc: 25.50%    dt/Ts: 1.69     remaining: 25 s         elapsed: 8.2 s (33 s)
Ergodic cost: 82.315     i: 1040/4000    perc: 26.00%    dt/Ts: 1.70     remaining: 25 s         elapsed: 8.4 s (34 s)
Ergodic cost: 82.906     i: 1060/4000    perc: 26.50%    dt/Ts: 1.71     remaining: 25 s         elapsed: 8.5 s (34 s)
Ergodic cost: 82.938     i: 1080/4000    perc: 27.00%    dt/Ts: 1.71     remaining: 25 s         elapsed: 8.7 s (34 s)
Ergodic cost: 82.902     i: 1100/4000    perc: 27.50%    dt/Ts: 1.70     remaining: 25 s         elapsed: 8.9 s (34 s)
Ergodic cost: 82.657     i: 1120/4000    perc: 28.00%    dt/Ts: 1.75     remaining: 25 s         elapsed: 9.1 s (34 s)
Ergodic cost: 82.251     i: 1140/4000    perc: 28.50%    dt/Ts: 1.74     remaining: 25 s         elapsed: 9.2 s (34 s)
Ergodic cost: 81.403     i: 1160/4000    perc: 29.00%    dt/Ts: 1.71     remaining: 24 s         elapsed: 9.4 s (34 s)
Ergodic cost: 80.062     i: 1180/4000    perc: 29.50%    dt/Ts: 1.76     remaining: 25 s         elapsed: 9.6 s (34 s)
Ergodic cost: 78.484     i: 1200/4000    perc: 30.00%    dt/Ts: 1.76     remaining: 25 s         elapsed: 9.8 s (34 s)
Ergodic cost: 76.123     i: 1220/4000    perc: 30.50%    dt/Ts: 1.75     remaining: 24 s         elapsed: 9.9 s (34 s)
Ergodic cost: 75.400     i: 1240/4000    perc: 31.00%    dt/Ts: 1.73     remaining: 24 s         elapsed: 10.1 s (34 s)
Ergodic cost: 75.612     i: 1260/4000    perc: 31.50%    dt/Ts: 1.70     remaining: 23 s         elapsed: 10.3 s (34 s)
Ergodic cost: 76.397     i: 1280/4000    perc: 32.00%    dt/Ts: 1.72     remaining: 23 s         elapsed: 10.5 s (34 s)
Ergodic cost: 77.350     i: 1300/4000    perc: 32.50%    dt/Ts: 1.72     remaining: 23 s         elapsed: 10.6 s (34 s)
Ergodic cost: 78.258     i: 1320/4000    perc: 33.00%    dt/Ts: 1.72     remaining: 23 s         elapsed: 10.8 s (34 s)
Ergodic cost: 79.125     i: 1340/4000    perc: 33.50%    dt/Ts: 1.75     remaining: 23 s         elapsed: 11.0 s (34 s)
Ergodic cost: 79.943     i: 1360/4000    perc: 34.00%    dt/Ts: 1.73     remaining: 23 s         elapsed: 11.2 s (34 s)
Ergodic cost: 80.259     i: 1380/4000    perc: 34.50%    dt/Ts: 1.71     remaining: 22 s         elapsed: 11.3 s (34 s)
Ergodic cost: 79.242     i: 1400/4000    perc: 35.00%    dt/Ts: 1.71     remaining: 22 s         elapsed: 11.5 s (34 s)
Ergodic cost: 77.755     i: 1420/4000    perc: 35.50%    dt/Ts: 1.70     remaining: 22 s         elapsed: 11.7 s (34 s)
Ergodic cost: 78.367     i: 1440/4000    perc: 36.00%    dt/Ts: 1.77     remaining: 23 s         elapsed: 11.9 s (35 s)
Ergodic cost: 81.354     i: 1460/4000    perc: 36.50%    dt/Ts: 1.72     remaining: 22 s         elapsed: 12.0 s (34 s)
Ergodic cost: 78.953     i: 1480/4000    perc: 37.00%    dt/Ts: 1.75     remaining: 22 s         elapsed: 12.2 s (34 s)
