0,0,0.09999999999999977
0,1,-0.06667772321287962
0,2,-0.05731250151577068
0,3,0.08318521500147555
0,4,-0.0261348209083428
1,0,0.03346692550576879
1,1,-0.023929942204354286
1,2,-0.015599143531998826
1,3,0.026398687074391275
1,4,-0.012750504227995445
2,0,-0.12479356992071024
2,1,0.08169058767541773
2,2,0.07488859368064818
2,3,-0.10518979183816074
2,4,0.02895608563365234
3,0,-0.09181621342842258
3,1,0.06495877084991511
3,2,0.044326200761789884
3,3,-0.07306895891162217
3,4,0.03340956500358498
4,0,0.0794755015731015
4,1,-0.04765431868876376
4,2,-0.05738757133897607
4,3,0.07095601039891086
4,4,-0.007829396604181822
